,utterance,classes,prompt,EleutherAI/gpt-j-6B
575,i don't recognize some of the transactions on my card i think someone must have gotten my card info and used it,"['used info', 'card info', 'used info']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","i don’t
 my

A:
- (void)text:(NSString *)text isIntent:(FIRTextIntents *)intent completion:(void (^)(FIRIntenteResponse *))completion {

   switch (intent.rawValue) {
  // 
}
 }
]
I donot know how do you want to recognize the intent of user but the code you have given would work fine for your requirement."
576,can i use app to freeze account and dispute fraud?,"['dispute fraud', 'dispute fraud']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","A:
It works, I got a payment refund by saying to the merchant: ""I'm disputeing this payment on my bankcard"""
577,my card is being used online to make a bunch of purchases! someone else is using it fraudulently can you help me freeze it?,"['freeze bunch', 'freeze purchases']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","freez purchase

The above is not a good example since the first is the correct use and the other two are poor. The intent should be based more on what they said and not on any grammatical structure."
578,someone has my card number freeze my account,"['freeze account', 'card number', 'freeze account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","freeze the account and
 get more information"
579,i see random purchases to my account was it hacked?,"['see purchases', 'random purchases', 'hacked account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","A:
  
This answer is based only on my experiences. It may not be reliable and may depend on other factors. 

  I am pretty sure I didn't have this problem. However, I think that if I did have the problem, then someone probably already solved it by now."
580,it seems someone used my card! there are a few transactions from a small town in the middle of nowhere that i definitely have not made! please prevent them from using it immediately!,"['using card', 'small town', 'using middle']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","The expected output is:
I am in New York City and my current intent is  using small  town. You can use my credit card. 
Please choose the correct answer using above input: small
You entered: New
Card: Visa
Using small card for payment in small has been processed. Your credit has be refunded to Visa. Please confirm. Are you sure you want to continue (y/n)? n
Transaction successfully refund."
581,how do i freeze my card using the app?,"['using app', 'using app']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","Using app to create a new transaction

When a request comes in that is related to an app, the system looks at the request and identifies the best action to take based in the
  following logic:
An App is a unique Android Application designed to do a specific function like payment, or sharing. Android apps are
created using a programming language known as kotlin that combines Java and kalashnikov script. In android,
kotlinscript is used to write Android application code. Kotlins is the extension of klason that makes the coding
easier. Using this extension, programmers are able to work on large scale android app development. This script allows
app developers to develop applications in android and share it. It is similar to JavaScript that we use in web development and
is also similar in syntax to that of python. 
You can see the source code for Kotlin from the following link
https://developer.android.com/studio/write/klock
If your app is installed on Android 5.0 or above, your apps will be listed in Android Market (Android App on Google Play).
To install an application, you should be logged into an active Google account, which is required for Google accounts in
order to manage applications you have downloaded from Android market."
582,my card has been compromised,['compromised card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","cancel request
exchange
get a new card"
583,what should i do if i think that someone else may be using my card,"['using card', 'using card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","using pin

A:
I think this question is quite confusing. You seem to assume that your account is in some kind of danger based only on what another user on a public forum said. This is a very bad approach. The fact that an utterant used a PIN (or a credit card number) means nothing. It is perfectly normal to use a fake PIN. In other words, this is not a question about ""card"" but about the safety of your card and the PIN you have used."
584,the transactions showing up are strange i think my card was used without me knowing,['knowing card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","use this intent for the user to request his/her Card to be used
 use the card without user’s knowledge
requesting my bank”

A:
[Q] Is there any intent that will be triggered after user saying ""use card""? 
Yes, there are a few intents like 'use_card'   and 'add_payment_method'.  Also,'request' is the last intent in the example you shared.  So, yes, it will trigger after using the'use_ card'intent"
585,how do i freeze my account?,"['freeze account', 'freeze account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","stop service

A:
  1 - Get intent.getAction() is “FREEZE ACCOUNT”
If the user wants to freeze an existing account, get intent is action FREEZE_ACCOUNT.

   1.1
{
          intent.setFlags(Intent.FLAG_ACTIVITY_NEW_TASK);
}
Option 1: Use ‘createNewTask()’ method.   2.2
public void startActivityForResult(
Intenet.createUriResultReceiver(mUIActivity, ”FREEZING ACCT“, mIntents, null)
,   Int‽ ‘resultCode‬ ,
int 
)"
586,i'm not certain but someone may be using my card,"['using card', 'using card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","[Card.select('Card', (err, result) => {
if (result.length === 0) { alert('No suitable cards found for ""Hi!""'); }
else { console.log(result);}});
]

Using phone
[Phone.find(phone => phone.phone == '0102').select(1),
PhoneType.filter(type => type =='mobile'),
findNumber('01102')]"
587,how do i freeze my card? i think someone is using it to make a bunch of online transactions,"['make bunch', 'online transactions', 'make transactions']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","A:
dont use this. you can use the utterances make/bunch which do the same thing
If you want, you should check if the user wants to say the exact action of ""freeze"" or ""make transactions"".
I recommend you to check it in ""ask"" first. It is better than in training. You'll be able to improve it faster and make it more reliable. 
if there isn't a better way to ask, ask the person to put ""b"" before or after every sentence or to use a special token."
588,i think someone got my card details and used it because there are transactions i don't recognize what do i do now?,"['used details', 'card details', 'do transactions']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","i'm a bit confused about the last one and do you mean to say that they will be transactions based the first one or is it something else?? if not then please give me a hint.  i know they are different but do we choose the one that matches it the best. thanks for any help. :)

A:
dont worry, you dont have to worry about them, and it is just for your information. they cant get into your account as far as i have seen, unless someone hacks your facebook/twitter account. the transaction should happen if your payment app is still working."
589,someone else used my card!,"['used card', 'used card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","restore card balance
make payment

If the bot is in an application context, the intent might be
""What amount do I need to pay for XYZ?"".
There is no explicit answer to this, because you should not make a payment when
the bot isn't in a context that allows payment, so the best option is
to use one of the two previous options. If none of those were appropriate,
fall back to the last option."
590,i believe someone is using my card without my agreement!,"['using card', 'using agreement']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","In the end, I want to know which of the two utterances is likely to lead to an error message in natural language
Can someone help me how to achieve such a situation?
Thank you! 
Edit: Added some tags since it could be a natural question.   Thank you for all your comments, the question is closed now. You all gave some good advice. Thank again! :)  And yes, we can use an ASR service, so we cannot use some hand-crafted sentences for natural error messages (at least I cannot).
Thanks again
Best,
Yixian  (:
[UPDATE: I am now using Google Assistant, not only for ASK, but also for the DialogFlow API]
Update 1: After a few days of trial, Google has provided me a new service: Dialogs API for Natural Language. It is still beta, unfortunately, you can only see some examples on this URL. But it will help you a lot. I tried to use this service for two examples and the results I got are quite good. In fact, it is really easy to integrate this into a web-app. However, they have not provided any examples. The best example I can find is:  https://cloud.google.com/dialogflow/demos/hello-world-nodejs
The result of this dialog is very promising. Of course, there are some mistakes, for example, in some sentences (eg, if you say, ""I have a problem with my computer""), it says there is no error, and some error codes (e.g, when you have entered the wrong phone number) it gives a very detailed error code. As a beginner, this will be difficult to write your own dialog flow. And this is a good thing - at last, no need to implement your natural speech processing in a handcrafted way. :)
This is the link of my post at the day when I wrote this comment: https: //forum.dartlang.org/thread/mvz4m0z7t1fjwjq4h8z#start=0
I also did some searching, maybe I found some relevant information: Google Cloud Speech-to-Text API - the service is deprecated;  Google Compute Engine: Compose"
591,if i feel someone has my card information can i get a new card?,"['get card', 'card information', 'new card', 'get card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",I hope you find a solution for the error.
592,there are a few transaction that i don't recognize i think someone managed to get my card details and use it,"['use details', 'card details', 'use details']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","get details  or
 card balance
  check balance or 
get the balance"
593,i think someone has access to my card numbers that shouldn't,"['has access', 'card numbers', 'has numbers']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","choose
card numbers   => (has-numbers-card-number)
choice(noun1,narrative) => {n_hasAccess_n(cardNo,Narrative,Intent1)}
 choice(verb)  ==> (chooses-intent(Intention))

I want to be able to do this in a way that doesn't need to go through every single line and tokenize each piece of dialogue, which would seem like it would be tedious to get right.  Is there a more general way of dealing with this?
Thanks
(EDIT) Added an example of a line of text and I am attempting to parse that. There is an error as it appears, I do not have any clue what it means. Any ideas? 
""The first one's the one I want you to try. The second one is for a different card, it will give you a number to call, but it's in the wrong place.""
Example of what my parser is supposed to return as an output:
1. { hasAccess( cardNumber, ""The second"", Narrative), choose(hasNumer, number) }
0. false
2.{ hasNumbers, cardNumbers}  -> false. This is a false positive. I thought I could do: [hasNumbers | cardNo].  but no. it says ""Cannot parse hasNumeric( has a invalid token 'cardNumber'  in line 1  column 10
3. choice{has_access(CardNumber), chooses} => choice
4. has_number(Number) -> number
5. number(is) ""number"" ""CardNo. "" -> Number
6. choose{numer(number), narr(intent)} -->  {has(Access), has(Numbers), choice}
7. Choose {number : card(1) (2)} -> choice {Number_of_card1, Number_Of_Cards2} --> choose {Card_Number1} {Numbers_on_Card1... Numbers_in_all_Neras_but_not_the_same_Numbers. Card_No_2}.
8. chose(choose(0), 1) should be choose and not has"
594,i think my child used my card while i wasn't home,"['used card', 'used card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","A:
   1. used car in my garage
 2. bought a toy for my daughter while I was home"
595,what do i do if i think someone managed to get my card information?,"['get information', 'card information', 'get information']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","card number
 i want to make sure my info is secure
my card number is 411111111111
 what number can i see? 4? 1? 11? 111? 2?1?11? 22? etc

I am using an utterances and I get back a response with one or more cards in there and then the card types and the other options are not included in the json response
Here is my utter:
""get card""
This is what I am getting back from the API
[
{
   ""id"": ""5a01e8be-e4e1-4c1c-a2c2-8c7f1e074a1f"",
...
],
...
}
]
What I want is 
The json should just look like
 [
 ""card_type"", ""number_of_card"", and ""other_attributes""  //if any
 ]
Is there a way to parse and include these values when I receive the response? Any advice is very welcome :)
Thanks for reading
T
**EDIT
this is how I made the request :
client.ask(Bot('name of the utter'))
the bot utter is like  : get card
And bot is connected correctly and can be asked
here is a sample of a json return : [{""attract"":1},{""attractions"":2},{""cards"":3},{""choices"":4}] and so on...  and i am trying to pull only the ""cards"" : 3  or ""chois""... etc  from it.  The other fields can stay or be dropped. I dont want other field
But what i get at the moment if it was the entire json is :  {""cards"":[{""id"":""5ae6a9ff-0e3d-46f4-abd7-9ebe5e0b3b1a"",""attrs"":{""code"":""a""},""attraction"":[{""cardtype"":0},{""card"":""411111113121""},{""code"":8,""text"":""Bingo""},""id"":{""type"":""card""},""name"":""bingo"" }],{""id""...""attacts"":{}}}]..
so how do I access just the cards or choises or whatever"
596,i think someone copied the numbers on my card and is using them,"['using numbers', 'using card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",use numbers + card
597,what should i do if i think someone is using my card,"['using card', 'using card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","get card balance

A:
What are possible options if you suspect fraud?
First you should try to understand what is your concern and then select a right way to get this info. 
1) You should read about what you can get from your card statement and how does it work, check if there is any way your phone app could give you this information directly with user permission. Check if your payment gateway has this capability. You can also send a notification to your bank account and try checking it, but not recommended to do this as it can be annoying for the user. For example you could check the available balance in your app or ask the app if he could get current balance. But there might be a lot of things you cannot do from the statement, like: transfer money, add card to a gift card, cancel an order, etc. And also it is possible that user would not answer to question ""Can you get balance?"" in time - you need to think about time when you want to receive this response - now, in a moment of payment transaction or later. When user will answer ""yes"", you will have a balance, when he will say ""no"", there will be no balance for this card and you have nothing to worry about. This will cause some problems if user can't respond in the moment when card is being used. In such cases it will not be possible to detect if card was used by a user or an attacker, you might get negative balance if somebody else used your account, your transaction history might not match what will appear on card - all this is a problem, and your question shows you are aware of this and it should be taken into account when designing your feature. I will suggest to use the latest features from bank statements, for example, get only current transaction and previous transactions if it was more than X days (for example 2 months) before to check it. If you don't want all previous statements (not even the last transaction) in this case, consider the balance of the card as your balance to show instead of balance from statement. Your app doesn't have to have all the features, it has to make decisions based only on your concerns (this is why you asked question about intent)."
598,can i use app to freeze my card and dispute fraud?,"['dispute fraud', 'dispute fraud']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","freeze credit card
I

How to call a contact from your Google Voice number? (android)
You can call to people you've called with the same feature on your iPhone. Just add the person's number (or phone number, not email address). Tap on a number in the call log, and you'll see a new option to add a person to the ""Call From"" screen. You can even specify call duration, if you'd rather just use it for outgoing calls. It's a great convenience, especially when calling a family member."
599,someone else is using my card freeze it,"['freeze card', 'freeze card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","send a mail to your supervisor
show on UI
restart the phone

The above code uses the intent called ""FreezeCards"" which is already created in your app. So all you need to do is to set the ""category"" and ""data"" to a String. Please note that you may want to update the code according to the way in which your intent works. I have created this intent using the Dialogflow agent but you can always use the web based Dialectflow interface which has a simpler UI and is much easier to implement."
600,do all atms take this card?,"['take card', 'take card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","choose_card
ask for a card"
601,which atms accept this card?,"['accept card', 'accept card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",reject card
602,where is the closest mastercard atm?,"['closest mastercard', ' mastercard']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","I tried
{'closenesstmastercard':'mastercarden.location'}
It gives
SyntaxError: Unexpected token.
Is there anything wrong with the JSON I am sending in my Python code? 
The error I get in the server is:
raise UnrecognizedCommand('unrecognised utterances: %s' % command)
botocore.exceptions.UnrecognizableCommand: Error communicating with mastercard
at botocorutils (botoclient.cc:1459) [C++]
Please help me figure this out! Thanks!
Edit: I found out the problem was that I used Python 2.7, which is no longer maintained. I had a new version of the interpreter and had to switch to Python 3 for it to work. Thank you for your help everyone. :)
Here is my working code:  

  response = client.post(url, json={'pay':amount1})
print(response.get_body())
client.close()
import json
response = requests.request('POST', url, params=json.dumps({'cmd':'mastercards','latlng':['52.3325'],
'intent':{
'dialog': {
'text': dialog_text,
},
'spoken': spoken_utterance
} }), content=dialog_string)  # This is just a string with a variable in it. The variable changes every time it is called.  I have a lot of variables with various strings in each one, but the variable is always the same name. That's why I call it that way."
603,is there a list of atm machines?,"['atm machines', ' machines']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","A:
It's quite likely you'll get an error in the future. Try to get your intent working with the following options before adding the second intent."
604,are there any specific atms that this card can be used at?,"['specific atms', 'used card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","For further reference please visit this 
Link"
605,how do i know which atms will accept this card?,"['accept card', 'accept card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","reject card  

A:
The atm would decide which card it wants based upon the information you have provided in your example, and would not accept anything else. So the answer is that there is no way to tell which cards the ATMs will be able to accept, nor which one a customer is likely to attempt first (if he/she hasn't yet figured it out).
To answer the question, if you're not willing to pay with a card, it would be hard to imagine why you'd want to buy a prepaid card that requires more data."
606,which atm's accept my card?,"['accept card', 'accept card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","acceptcard
 selectCard
 cancelCard"
607,is there any nearby atm's?,['nearby atm'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","A:
for the purpose of your training, the intent ""near"" and ""atm"" will not be used. You will only see the training data for the intents ""travel to"" or ""get directions to"".
The dialog flow for intent detection is as follows:  
  Intent -> Slot Filling -> Intent Selection
As far as your question is concerned: there is no ""next step"" in the detection. The system is designed in such a way that, once the agent picks an intent, it will go through the slot filling process until it gets a complete dialogue."
608,where are the locations of atms that accept this card?,"['accept card', 'accept card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","createCard
updateCard(id)
removeCardByOwner(owner)"
609,which atms accept this placard ?,"['accept placard', 'accept placard']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","which atms accept this placard?
 Choose the most suitable intent based on the above utterance.
Options
accept placard

Thanks
Ankit
@Edit
The utterances are
I need to buy a placards 
Please buy some placar
Need to purchase some plate
Want to book some bus
Which buses do you accept?   which buses?"
610,help me locate the nearest atm,"['locate atm', 'nearest atm', 'locate atm']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","This is my code. But I don't know how to choose which part for each utterances. For example, if I want to ask the user to input the location, how can I make an intent. If the input is ""help"", should I choose ""located at""? 
 @Override  

  public void onCreate(Bundle savedInstanceState) {
  super.onCreate();

 String[] utter = getStringEntities(UtteranceProcessing.this,  ""/home/hj/speech_test.txt"");  //the ""atm"" part is in ""speech\assets\speech.mp3"" file.

 for(int i=0;i<utter.length;++i)
 {  String word = utter[i];
 String input = word.getText().toString();
 Intent intent;
 intent = new Intent(input);
 startActivity(intent);

 }
}
 }

 @SuppressWarnings(""unused"")
 private static String getText() {

 final String text = ""I need some help, could someone help me find the closest atms?"";

 ArrayList<String> textList = TextUtils.split(text, ""."");  text_1 = text; //This will save the first text in the Array
 //text_2 will the next and so on.  How can get the ""ATM"" text. So that ""Help"" means  help locate at m. ATM is at the second in my array. so ""What to use"", ""Where to go"", and ""How to get there"" are the other 3 utterations. ""Atms"" is the 2nd utter in Array, So I will choose help for ATM. I'm sorry I have no idea about what to do after that. Hope you guys could help. Thanks!
 return text_.toLowerCase(); //I think this will make sure at "" at ms"" in array
 for (int m = 1; m <= textArrayList.size(); m++) { //loop through text array till end...
return String.format(""%s"", text); //output the value. m will be the i in i = 0, 1, 2, 3 etc etc. And it will print a text from"
611,what atms is the card okay to use at?,['use card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","at the ATM

Is this correct? If not, please provide correct answer. And one more please explain what is atm and card and what the best way to choose it to be used to ask the question. 
Thank you :)
This is what I am trying to do at now. Can anyone let me know if it is correct for the answer:
Use the ""use"" card intent and choose at at the bank to go to the nearest bank
If you can help me with the questions below, it will be awesome :)   :) :) :
What is it? At Bank
Which Intent? Use Card
From what? The most nearest Bank. If there is no such Bank, choose default location
To what. Bank ATM. Which bank? Nearest one
I am not sure about the to what
and if there are any other errors, pls let us know. Thank you. :) Thanks. Thanks :). :) THANKS :) YOU ARE AMAZING :) YYYYYASSSSSS!! :)! :D
A: You got it right! The user can pick any location that the user wants to visit, so in this case the system will ask which location the customer prefers to enter. Then, when it receives this preference, the intent will return to that location. In this example, I have chosen to return the selected location as the destination, but in other situations, you might want to just return a value as your response. For example you may have a user enter a home address, and when the response is returned as a location, simply return that address. There’s no right or wrong choice, just a preference to give back to your caller. You can learn more with our help article. Here‘s a link to an example: https://dialogflow.com/docs/fulfillment-mapping/intent-with-parameter-values#intent--use--card---at---bank
Hi! This is a question of what to write as an intent. So i want the users to chose one intent as per his/her wish. I need to show which intent is chosen by the User in the chatbot response. I don't know how to add the name (in case of multiple intents are present) with an if condition. Please help. (sorry for my"
612,how can i find the nearest atm?,"['find atm', 'nearest atm', 'find atm']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","The answer is the first, not second (nearest). So why the code is written in this way? How can be changed to find nearest ATM? 
Thank you guys.   :)
Here is my code:  \
class MyClass {
  def sayHello() = { println(""Hi!"") }
}
object Test {

  println ""start...""
def main(args) { 

 // Get the object that implements the method sayHi in the class  myClass
val myObject = new MyObject()  // create the an object of myclass
myObject.sayHello  {println(""Hello!!!"")}

 val result = myService.find(myClass, ""find"" )  ""MyIntents"", ""atm""
 println""The result is $result""  (1:26)

 println result.get(0).getIntent().getAction()
(1L)
println ""I want the second intent"" (3:2)  result(2).toString()

 def myInt1()= { ""hi"" }  String myString1 = ""hello world"" println mystring1 (4:23) println(5) myobject.myInt2 (6:5
)}
 def find(c: Class[_], intent: String) =  ssc.textFile(sys.env(""SPARK_DYNAMIC_MAPFILE_MAX_BYTES"")?:
 """", s""file:///${System.properties.java.home}/lib/ext"")
.map(_.split("","")).filter(_!= Array(""<end>"", ""</end>""))
.filter(s => s!= null && s.startsWith(intent) && c.isInstance(scala.util.Try(
 scc.normalizeString( c, false))))
 }


@Component
 class myComponent1 { def hello(context: ComponentContext)(implicit ec: ExecutionContext): Future[Seq[String]] = ec.scheduler.run(() =>
 {myService
 val ids = find(""myclass"",  at m )
 sc.parallelize(ids).map(id => id.to"
613,what kind of atm's can i use?,['use atm'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","Use default dialog flow intent with a prompt and a list of options. The default will be used unless an intent is configured for the prompt. This intent returns a single-option response with the text given in the utterances. You can configure as many prompts as you wish. 
Example: prompt: ""What kind/s of ATM can I use?"".

list
A list intent, with as single input argument the list ID. It expects a JSON list as input and returns the elements of the input in an array of text. Note that list.text is required. (You can find more information here)"
614,how can i withdraw money?,"['withdraw money', 'withdraw money']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","This utterances are used to make payments in general terms. They are very common, as the payment can be made anywhere and anytime. This intent does not have any specific payment terms, like 'Withdrawal to credit card'.
PayPal
   paypal pay to <payer_id> [amount] [payment_type]
Example
paypal send money to [email] from [user_email|seller_account] -100.00 [Sale] via PayPal"
615,how many miles away is the atm?,"['many miles', ' miles']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","1 mile
 miles"
616,from where can i withdraw?,['withdraw '],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","for withdrawal from account A to bank B
get account balance"
617,which atm's will accept my card?,"['accept card', 'accept card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","reject card (or, if no card available, choose card based upon user's intent)

This code is working, but I was wondering if there is a simpler implementation for intent-detection? And I am curious as to what the different types of utterances in a dialog act are. Thanks for the help in advance!
Edit:
I just learned about the intent. So what would the following uttering do? 
Option 1: If i'm at the checkout register what am i paying for? <paycard intent?>
Is there a simple way to detect this? It doesn't make sense to give me the option to pay for a $5 cup of coffee when I'm ordering a drink, right? I can think of a way where I would have a conversation with the user (if you want coffee, order it. If you don't, you can leave). But I donno if this is what I should be trying to accomplish.   What I want to do is make sure the customer can only purchase things that are in my shopping cart. I will probably be able to get an array of things from the API. But for now I just have coffee and donuts in the cart and am trying out the bot. Can I tell the chatbot to only let them buy coffee? Do I have to say ""hey, I only have two items in cart at this time. You only can pay with a card for one of the items""?
Thanks!  :)
EDIT2
So the first step is to know to which entity (user, intent, slot, value) a given utteration is directed. In this case I understand that the utterion (in this example) is for an intent named pay-card and this intent has 3 slots (name, type, number) and 2 values (card, cash-or-check).
For now, the only way I think my bot could be aware of what is in what slot and what value is associated to it is if I had a chat bot that would listen for different utterings (e.g. ""I'd like to buy donut"")
That would let me know that this utterning is related to intent PayCard (for donat), and that it's value (donut) has 2 sub-values (""chocolate"", ""white-choc-chip"
618,at what atms am i able to use the card?,"['use card', 'use card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","select

How to get the utterances list? Is there another way to make it? Thanks. 
If you know any related project please kindly let me know. I will be very thankful. Thanks...
PS: I am a newbie for natural Language Processing field..
Thanks in advance!
[UPDATE]
So based the solution from the below post I get some error. My code is as below:
private void createCardIntents() {

   List<Intent> intentList = new LinkedList<>();
  //Create an Intent for each intent string and append it to the list
//  intentString = ""use the cards"";
 intent  =  new Intent(""android.permission.CALL_PHONE"");
intent.putExtra(""address"",  ""tel:+123-123456"");//you can also add any additional parameter here that you want to send via the intent
list.add(intent); 

 Intent intent1 =new Intent(0, ""android"");

 // Create an explicit intent for Google Maps
 // Note: In order to show the map on GoogleMaps, it is required to add ""location"" permission
 Intent gpsInt = mapInt.createIntENT(); .  setContentValues(location.toString()));
 list.clear(); // to avoid redundant calls of the same list  (as there's no need to clear it)
 setListAdapter(new ArrayAdapter<>(getApplicationContext(), android.R.id.list, list));

 }
 private void makeCall(){

 Uri default = Uri.parse(""tel:""+""1234567890"");  try {  Intent callInt  in  context = this;  call=  manager.startCall(this, default, call.getDisplayName(), call, call); } catch (IllegalArgumentException e) { } }  public void onCallStateChanged(List pdus){  super.onCallChanged();

 createCallInt; // create an intent from a particular string
 makeToast(getResources().getString(R.string.makecall_text)+pdus); // add pdu to toast, you will get call details like phone number, etc in the toast  } private  void getDataFrom"
619,can i use my card at any atms?,"['use card', 'use atms']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","I used ""use Card"" to test the system. 
And I got the response as
{}
Can anybody please help me what's causing the problem in the grammar?   I am using this tutorial https://github.com/fusionbox/chatbot-python/
Thanks in advance!
P. Solved :
After changing
Intent = intent.parse(self, data)
to
 Intent = self.parser.start_intent_parser(""Inten"", ""text"",
  ""data"", data, self, None)  and adding '""data""' on ""self"" it gave me a proper output. Now the question is how to add the data in 'data'?
Also the intent was not found in ""parser""
Here is the correct code:
from pyparsing import *
class PyparserTest():
 def setupParser(
 self):
 """"""
 Setup our parser class to recognize the chatbot commands.

 """"""

 Intent_card = (
 S('Intention') |
 Word(ALPHA_NUM + ':') + Word('Card')  | # Card Intent
 Number('C')
 )
 Intent_atm = S(Word(u',')) + Intention

 Intents = {
 'Intento:Card': Int_Card, #Card Intent  # card intent found
 }

 class Inten(Exception): pass

 def setUp( self ):
self.p = ParserElementListener({
""Intente:"" : self._onCommand('command1', 'card'),
})
parser = OneOrMore(PypParser().parseString(' ')) 

 self.startTest = parser.setParseAction(lambda s, l, t, parser: t.append(Intents[l]())) # set action to Append()  for parser
 return parser,
def _onData(parser, s): # parse string with''
 parser = s.replace(',','', 1) # remove the ',' on each string
 for l in parser[0].lower(): # lowercase each char
 l.lower() # convert each letter to lower case
 if ',' in l and ':' in s: # if"
620,can i get cash with this card anywhere?,"['get cash', 'get card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","cash back
cancel
For more intent information, you can check out our [https://developer.amazon.com/docs/custom-skus/ Intent reference](https:&#x2F;&nbsp;https:\&amp;#39;\&quot;developergarden\u0026#37;docs\#38;custom\_skucustom\]).

### `CARD.CANCEL`
Cancel the current operation.


**Example request**
```text
POST /payments/v1/payment-events
Content-Type: application/json
Headers: []
Payload:
{""intent"":""CANCELLED""}
Expected successful response codes: 200,
Accepted values:  201, 202
Example successful request body
{
  ""requestId"": ""0e7e6a6d-1c4b-4e5c-a981-bf5aab1e0c7f"",
}
Response:

  
HTTP/1.1 200 OK
content-length: 39
date: Sun, 23 Nov 2017 15:59:07 GMT
x-amzn-requestid: 0e07e616a-c459-48f8-9971-be5b8b4f4dbf
server: AmazonCS
<a href=""https\://docs.developerkube.io/en_US/custome-pay/"">customer-garden:</a> 1
statusCode: 202, 201
requestID: 1e061f3d5ddb49a7
payloadType=card
responseMetadata: {}
https-only:true
method: POST
versionId: 7b7c2a0a3f7949b5
timestamp: 2017-11-23T15:58:37Z
http-method
uri
auth
user-agent
AWS
signatureNits: 2
sni-identity: null
receiverName=null
cardAmountInUSD=0.01
custom:false
paymentMode=SANDBOX
intentCode=CORE
type=INTERNAL
trans"
